1	0.721626	1	1	-12.5043
1	0.721626	1	2	-12.1583
1	0.721626	1	3	-3.57983
1	0.721626	1	4	0.386925
1	0.721626	1	5	0.10238
1	0.721626	2	2	7.09808
1	0.721626	2	3	10.8896
1	0.721626	2	4	3.84924
1	0.721626	2	5	0.482265
1	0.721626	3	3	9.80923
1	0.721626	3	4	2.73546
1	0.721626	3	5	0.323775
1	0.721626	4	4	0.66266
1	0.721626	4	5	0.0791
1	0.721626	5	5	0.0105
2	1.02053	1	1	-0.83322
2	1.02053	1	2	2.92953
2	1.02053	1	3	2.68221
2	1.02053	1	4	0.5996
2	1.02053	1	5	0.05994
2	1.02053	2	2	4.60146
2	1.02053	2	3	2.04899
2	1.02053	2	4	0.17012
2	1.02053	2	5	0.00835
2	1.02053	3	3	0.20496
2	1.02053	3	4	-0.16232
2	1.02053	3	5	-0.02212
2	1.02053	4	4	-0.06664
2	1.02053	4	5	-0.00847
2	1.02053	5	5	-0.00124
3	1.24989	1	1	-1.2056
3	1.24989	1	2	-1.9262
3	1.24989	1	3	-0.965995
3	1.24989	1	4	-0.08975
3	1.24989	1	5	-0.00439
3	1.24989	2	2	0.19052
3	1.24989	2	3	0.98272
3	1.24989	2	4	0.46836
3	1.24989	2	5	0.05167
3	1.24989	3	3	1.18098
3	1.24989	3	4	0.401445
3	1.24989	3	5	0.042
3	1.24989	4	4	0.10587
3	1.24989	4	5	0.01093
3	1.24989	5	5	0.00116
4	1.44325	1	1	1.57278
4	1.44325	1	2	0.678895
4	1.44325	1	3	-0.19201
4	1.44325	1	4	-0.237585
4	1.44325	1	5	-0.02906
4	1.44325	2	2	-2.16465
4	1.44325	2	3	-1.97499
4	1.44325	2	4	-0.556375
4	1.44325	2	5	-0.05769
4	1.44325	3	3	-1.43347
4	1.44325	3	4	-0.32211
4	1.44325	3	5	-0.03178
4	1.44325	4	4	-0.05093
4	1.44325	4	5	-0.00478
4	1.44325	5	5	-0.00040437
5	1.6136	1	1	-0.18056
5	1.6136	1	2	-0.25963
5	1.6136	1	3	-0.122135
5	1.6136	1	4	-0.005785
5	1.6136	1	5	0.000222935
5	1.6136	2	2	0.06119
5	1.6136	2	3	0.164195
5	1.6136	2	4	0.07024
5	1.6136	2	5	0.00762
5	1.6136	3	3	0.18448
5	1.6136	3	4	0.05835
5	1.6136	3	5	0.00596
5	1.6136	4	4	0.01335
5	1.6136	4	5	0.00134
5	1.6136	5	5	0.00013589
6	1.76762	1	1	-0.24991
6	1.76762	1	2	-0.123875
6	1.76762	1	3	0.03204
6	1.76762	1	4	0.038255
6	1.76762	1	5	0.00416
6	1.76762	2	2	0.27823
6	1.76762	2	3	0.27803
6	1.76762	2	4	0.06932
6	1.76762	2	5	0.006325
6	1.76762	3	3	0.19857
6	1.76762	3	4	0.034815
6	1.76762	3	5	0.00289
6	1.76762	4	4	0.0021
6	1.76762	4	5	5.99e-005
6	1.76762	5	5	-1.707e-005
7	1.90924	1	1	0.12667
7	1.90924	1	2	-0.12698
7	1.90924	1	3	-0.155055
7	1.90924	1	4	-0.052
7	1.90924	1	5	-0.00494
7	1.90924	2	2	-0.33646
7	1.90924	2	3	-0.2019
7	1.90924	2	4	-0.03131
7	1.90924	2	5	-0.00263
7	1.90924	3	3	-0.0856
7	1.90924	3	4	-0.000809245
7	1.90924	3	5	0.00018256
7	1.90924	4	4	0.00602
7	1.90924	4	5	0.00063582
7	1.90924	5	5	7.114e-005
8	2.04107	1	1	-0.0562
8	2.04107	1	2	-0.10542
8	2.04107	1	3	-0.06053
8	2.04107	1	4	-0.00346
8	2.04107	1	5	-0.00021538
8	2.04107	2	2	0.02297
8	2.04107	2	3	0.065765
8	2.04107	2	4	0.03102
8	2.04107	2	5	0.00313
8	2.04107	3	3	0.0808
8	2.04107	3	4	0.0261
8	2.04107	3	5	0.00257
8	2.04107	4	4	0.00605
8	2.04107	4	5	0.00060033
8	2.04107	5	5	5.985e-005
9	2.16488	1	1	0.00873
9	2.16488	1	2	0.00407
9	2.16488	1	3	0.001285
9	2.16488	1	4	-0.001885
9	2.16488	1	5	-0.000227815
9	2.16488	2	2	-0.02741
9	2.16488	2	3	-0.022885
9	2.16488	2	4	-0.00775
9	2.16488	2	5	-0.00075592
9	2.16488	3	3	-0.01916
9	2.16488	3	4	-0.00577
9	2.16488	3	5	-0.000541855
9	2.16488	4	4	-0.00108
9	2.16488	4	5	-9.808e-005
9	2.16488	5	5	-8.4e-006
10	2.28198	1	1	0.03537
10	2.28198	1	2	-0.04456
10	2.28198	1	3	-0.052595
10	2.28198	1	4	-0.014525
10	2.28198	1	5	-0.00135
10	2.28198	2	2	-0.09691
10	2.28198	2	3	-0.053415
10	2.28198	2	4	-0.00514
10	2.28198	2	5	-0.00036167
10	2.28198	3	3	-0.0154
10	2.28198	3	4	0.0031
10	2.28198	3	5	0.00037442
10	2.28198	4	4	0.00224
10	2.28198	4	5	0.000231005
10	2.28198	5	5	2.522e-005
11	2.39336	1	1	0.00473
11	2.39336	1	2	-0.026365
11	2.39336	1	3	-0.02229
11	2.39336	1	4	-0.00363
11	2.39336	1	5	-0.00026688
11	2.39336	2	2	-0.02912
11	2.39336	2	3	-0.007245
11	2.39336	2	4	0.00164
11	2.39336	2	5	0.00021462
11	2.39336	3	3	0.00689
11	2.39336	3	4	0.00322
11	2.39336	3	5	0.00031306
11	2.39336	4	4	0.00078254
